component	count
title	83568
write	82048
markdown	74176
set_page_config	71184
subheader	58156
button	43112
columns	37760
image	32448
success	28280
info	27576
warning	26816
header	26168
error	23848
checkbox	23816
selectbox	22720
text_input	21432
dataframe	20752
text	18488
stop	17856
download_button	15904
expander	14792
rerun	14760
file_uploader	14664
empty	13904
spinner	13896
form	13104
number_input	12480
form_submit_button	12144
radio	11048
slider	10504
cache_data	9664
tabs	9368
text_area	9028
caption	8376
chat_message	7552
metric	7388
chat_input	7296
plotly_chart	7208
pyplot	6472
multiselect	5336
progress	5288
divider	5100
container	5080
date_input	4744
json	4472
line_chart	4364
code	4224
map	3856
balloons	3384
table	3256
bar_chart	2960
set_option	2300
cache	2224
select_slider	1912
audio	1712
exception	1708
video	1688
toast	1680
time_input	1636
data_editor	1576
toggle	1548
latex	1528
components.v1.html	1496
altair_chart	1416
page_link	1412
cache_resource	1404
cache_data.clear	1376
navigation	1348
color_picker	1348
html	1336
pydeck_chart	1320
write_stream	1320
switch_page	1316
snow	1308
logo	1176
connection	1172
status	1104
Page	1088
link_button	1068
query_params.clear	1048
area_chart	1016
popover	1004
experimental_set_query_params	1000
bokeh_chart	996
dialog	968
experimental_get_query_params	944
scatter_chart	932
get_option	916
echo	880
graphviz_chart	864
pills	832
segmented_control	760
camera_input	752
cache_resource.clear	744
components.v1.iframe	708
audio_input	678
query_params.get_all	667
badge	592
fragment	582
feedback	580
vega_lite_chart	512
help	482
query_params.update	450
login	244
logout	240
query_params.to_dict	178
query_params.from_dict	139
pdf	107
user.to_dict	27
context	9
components.v1.declare_component	2
context.headers	1
query_params.missing_attr_error_message	0
query_params.missing_key_error_message	0
DeltaGenerator.add_rows	0
StatusContainer.update	0
context.cookies	0
context.ip_address	0
context.is_embedded	0
context.timezone	0
context.timezone_offset	0
context.url	0
CachedFunc.clear	0
StreamlitPage	0
StreamlitPage.icon	0
StreamlitPage.run	0
StreamlitPage.title	0
StreamlitPage.url_path	0
context.locale	0
context.theme	0
user	0
